sample,rName,r_num,original_samp_ID,bc,cell,runID,type,host,collaborator,institution,proj,stage,sex,park,town,county,state,environment,animal,antibiotic,group
rLane_57,t_238,238,rLane_57,lbc61,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_58,t_239,239,rLane_58,lbc62,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_59,t_240,240,rLane_59,lbc63,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_60,t_241,241,rLane_60,lbc64,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_61,t_242,242,rLane_61,lbc66,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_62,t_243,243,rLane_62,lbc68,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_63,t_244,244,rLane_63,lbc69,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_64,t_245,245,rLane_64,lbc70,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_NC2,t_246,246,rLane_NC2,lbc72,C01,r54257_20200316_171956,control,,lane,UCB,tick,,,,,,,,,,
rLane_PCRNC,t_247,247,lima_output.lbc74--lbc74.bam.Q20,lbc74,C01,r54257_20200316_171956,control,,lane,UCB,tick,,,,,,,,,,
RL17,t_324,324,RL17,lbc1,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL18,t_325,325,RL18,lbc2,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL19,t_326,326,RL19,lbc3,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL20,t_327,327,RL20,lbc4,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL21,t_328,328,RL21,lbc5,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL22,t_329,329,RL22,lbc6,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL23,t_330,330,RL23,lbc7,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL24,t_331,331,RL24,lbc8,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL25,t_332,332,RL25,lbc24,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL26,t_333,333,RL26,lbc10,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL27,t_334,334,RL27,lbc11,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL28,t_335,335,RL28,lbc12,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL29,t_336,336,RL29,lbc13,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL30,t_337,337,RL30,lbc14,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL31,t_338,338,RL31,lbc15,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL32,t_339,339,RL32,lbc16,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL33,t_340,340,RL33,lbc17,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL34,t_341,341,RL34,lbc18,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL35,t_342,342,RL35,lbc19,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL36,t_343,343,RL36,lbc21,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL37,t_344,344,RL37,lbc22,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL38,t_345,345,RL38,lbc32,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL39,t_346,346,RL39,lbc34,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL40,t_347,347,RL40,lbc35,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL66,t_348,348,RL66,lbc25,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL67,t_349,349,RL67,lbc26,C01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL68,t_350,350,RL68,lbc27,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL69,t_351,351,RL69,lbc28,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
